,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm
0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,2.10E-07,MeCN,76,72,310,1.67,442,0.0373,290,0.243,428,0.101,1.896,355,532,MeCN,305,480,286,448,,,,,,,,,,,,
1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.80E-07,MeCN,90,84,310,1.87,438,0.0505,272,0.489,434,0.127,1.899,355,532,MeCN,306,473,284,448,,,,,,,,,,,,
2,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,1.10E-07,MeCN,98,97,320,1.46,425,0.0778,272,0.908,422,0.108,1.877,355,532,MeCN,311,454,285,445,,,,,,,,,,,,
3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,1.50E-06,MeCN,96,87,325,1.74,428,0.0612,286,0.515,438,0.136,1.874,355,532,MeCN,317,458,302,461,,,,,,,,,,,,
4,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,7.60E-09,MeCN,98,70,328,1.66,417,0.064,275,0.806,403,0.0666,1.849,355,532,MeCN,318,447,278,409,328,455,295,410,305,427,256,401,,,,
5,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,7.70E-07,MeCN,98,98,335,2.27,425,0.0963,296,0.577,441,0.23,1.837,355,532,MeCN,327,443,297,460,337,453,311,462,314,422,279,449,,,,
6,C[N]1N=CC=C1N=NC2=CC=CC=C2,7.40E-07,MeCN,98,79,341,1.62,425,0.0676,289,0.694,430,0.0873,1.841,355,532,MeCN,333,457,299,439,,,,,,,,,,,,
7,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,1.60E-05,MeCN,94,86,340,1.82,435,0.0854,296,0.553,451,0.221,1.825,355,532,MeCN,338,452,320,473,,,,,,,,,,,,
8,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,2.20E-06,MeCN,77,85,363,1.93,410,,311,0.875,405,0.142,1.828,355,532,MeCN,359,437,285,401,,,,,,,,,,,,
9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,0.00076,MeCN,85,98,345,1.66,410,,300,0.52,462,0.332,1.822,355,532,MeCN,344,441,340,468,,,,,,,,,,,,
10,CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,0.033,MeCN,85,98,394,2.82,430,,346,0.704,479,0.608,1.754,415,532,MeCN,360,437,340,485,367,449,338,486,351,423,312,473,,,,
11,CN1C(/N=N/C2=CC=CC=C2)=CC=C1,6.50E-05,MeCN,84,82,385,2.21,412,,333,1.62,423,0.157,1.791,415,532,MeCN,351,440,325,422,359,449,338,425,340,421,306,410,,,,
12,CN1C(/N=N/C2=CC=CC=C2)=NC=C1,2.20E-05,MeCN,98,,363,1.7,417,0.126,,,,,1.835,363,532,MeCN,342,455,337,489,,,,,,,,,,,,
13,CN(C=N1)C=C1/N=N/C2=CC=CC=C2,3.30E-06,MeCN,95,,336,1.48,450,,,,,,1.853,365,532,MeCN,329,460,282,432,,,,,,,,,,,,
14,CN1C(/N=N/C2=CC=CC=C2)=CN=C1,1.20E-06,MeCN,98,45,362,2.58,,,,,,,1.81,365,455,MeCN,343,438,301,426,,,,,,,,,,,,
15,NC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,391,,,,,,452,,,,,,,,,,,,,,,,,,,,,
16,COC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,344,,,,,,430,,,,,,,,,,,,,,,,,,,,,
17,CC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,332,,,,,,430,,,,,,,,,,,,,,,,,,,,,
18,C1(/N=N/C2=CC=NN2)=CC=NN1,,,,,320,,,,,,430,,,,,,,,,,,,,,,,,,,,,
19,[H]C(C=C1)=CC=C1N=NC2=NNC=C2,,,,,324,,,,,,423,,,,,,,,,,,,,,,,,,,,,
20,BrC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,331,,,,,,421,,,,,,,,,,,,,,,,,,,,,
21,FC1=CC=CC=C1N=NC2=NNC=C2,,,,,328,,,,,,421,,,,,,,,,,,,,,,,,,,,,
22,O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,,,,,328,,,,,,425,,,,,,,,,,,,,,,,,,,,,
23,O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,,,,,331,,,,,,422,,,,,,,,,,,,,,,,,,,,,
24,CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,,,,,322,,,,,,415,,,,,,,,,,,,,,,,,,,,,
25,[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,,,,,340,,,,,,418,,,,,,,,,,,,,,,,,,,,,
26,CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,4.80E-10,DMSO/MeCN,92,42,316,,413,,282,,400,,,UVA,420,MeCN,,,,,,,,,258,421,312,467,,,,
27,CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,7.84E-08,MeCN,93,77,328,,425,,297,,422,,,UVA,420,MeCN,,,,,,,,,292,437,317,458,,,,
28,CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,6.95E-06,MeCN,80,85,328,,424,,299,,425,,,UVA,420,MeCN,,,,,,,,,294,435,304,441,,,,
29,CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,7.22E-08,MeCN,81,73,307,,432,,293,,426,,,UVA,420,MeCN,,,,,,,,,287,442,325,466,,,,
30,FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,1.75E-05,MeCN at 60C,66,82,325,20000,448,700,275,,420,1200,,>500,410,MeCN,,,,,,,,,346,500,322,466,,,,
